id,label,description,type
Q18996,First Minister of Wales,leader of the Welsh Government,executive
Q5261031,Deputy First Minister for Wales,"",executive
Q5176615,Counsel General for Wales,"",executive
Q23602586,"Minister for Business, Enterprise, Technology and Science",Welsh government position,executive
Q25713806,Minister for Communities and Tackling Poverty,Welsh minister,executive
Q23196598,Minister for Education and Skills,Welsh cabinet minister,executive
Q6865829,Minister for Finance,member of the cabinet in the Welsh Government,executive
Q6865862,Minister for Health and Social Services,in Welsh Government,executive
Q25713775,Minister for Heritage,Welsh minister,executive
Q25713804,Minister for Public Services,Welsh minister,executive
Q3406079,Member of the National Assembly for Wales,member of the legislature of Wales,self
Q7241522,Presiding Officer of the National Assembly for Wales,"",self
Q16707842,Member of Parliament in the United Kingdom,voters' representative in the House of Commons of the United Kingdom,other_legislatures
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
Q18952564,Member of the House of Lords,"",other_legislatures
Q25713850,Leader of Plaid Cymru,Welsh party leader,party
Q25273109,Leader of the Welsh Liberal Democrats,Welsh party leader,party
Q23766510,Leader of Welsh Labour,UK party leader,party
